Description,Zone,Response_Price,Profile,REF_2016,REF_2017,REF_2018,REF_2019,REF_2020,REF_2021,REF_2022,REF_2023,REF_2024,REF_2025,REF_2026,REF_2027,REF_2028,REF_2029,REF_2030,REF_2031,REF_2032,REF_2033,REF_2034,REF_2035,REF_2040,REF_2045,REF_2050,HIG_2016,HIG_2017,HIG_2018,HIG_2019,HIG_2020,HIG_2021,HIG_2022,HIG_2023,HIG_2024,HIG_2025,HIG_2026,HIG_2027,HIG_2028,HIG_2029,HIG_2030,HIG_2031,HIG_2032,HIG_2033,HIG_2034,HIG_2035,HIG_2040,HIG_2045,HIG_2050,LOW_2016,LOW_2017,LOW_2018,LOW_2019,LOW_2020,LOW_2021,LOW_2022,LOW_2023,LOW_2024,LOW_2025,LOW_2026,LOW_2027,LOW_2028,LOW_2029,LOW_2030,LOW_2031,LOW_2032,LOW_2033,LOW_2034,LOW_2035,LOW_2040,LOW_2045,LOW_2050
CHE_Households_and_services,CHE,5000,D_CHE_RES,0,0,57269348,57700000,35370837,35139790,34908744,34677698,34446651,34215605,34157843,34100082,34042320,33984558,33926797,33695750,33464704,33233658,33002611,32771565,31905141,31616333,30461101,0,0,57269348,57700000,35370837,35139790,34908744,34677698,34446651,34215605,34157843,34100082,34042320,33984558,33926797,33695750,33464704,33233658,33002611,32771565,31905141,31616333,30461101,0,0,57269348,57700000,35370837,35139790,34908744,34677698,35409587,35416408,35606232,35797156,35989196,36182368,36376686,36430203,36478028,36520161,36556600,36587344,35435201,34763676,33290198
CHE_Industry,CHE,5000,D_CHE_RES,0,0,5382014,5500000,24913372,24624564,24335756,24046948,23758140,23469332,23296047,23122762,22949478,22776193,22602908,22545146,22487385,22429623,22371862,22314100,22314100,21158868,20003636,0,0,5382014,5500000,24913372,24624564,24335756,24046948,23758140,23469332,23296047,23122762,22949478,22776193,22602908,22545146,22487385,22429623,22371862,22314100,22314100,21158868,20003636,0,0,5382014,5500000,24913372,24624564,24335756,24046948,24654348,24583423,24632976,24681154,24727939,24773313,24817256,25033372,25248090,25461410,25673332,25883856,25741043,24092957,22630762
CHE_Transport,CHE_EV,5000,D_DEFAULT_EV,0,0,97358,194715,3383297,3614344,3845390,4076437,4307483,4538529,4885099,5231669,5578238,5924808,6271377,6791232,7311086,7830941,8350795,8870649,12336345,15224425,17823697,0,0,97358,194715,3383297,3614344,3845390,4076437,4307483,4538529,4885099,5231669,5578238,5924808,6271377,6791232,7311086,7830941,8350795,8870649,12336345,15224425,17823697,0,0,97358,194715,3383297,3614344,3845390,4076437,4469971,4753974,5165448,5584264,6010522,6444322,6885768,7540755,8208645,8889440,9583142,10289755,14230930,17335588,20164526
CHE_Heating,CHE,5000,D_CHE_HEAT,0,0,0,0,0,144421,288973,433608,578297,723027,820279,917453,1014565,1111628,1208654,1269410,1328681,1386753,1443843,1500120,1282479,1328265,1096460,0,0,0,0,0,144421,288973,433608,578297,723027,820279,917453,1014565,1111628,1208654,1269410,1328681,1386753,1443843,1500120,1282479,1328265,1096460,0,0,0,0,0,144421,288973,433608,881634,1111612,1295666,1482318,1671620,1863618,2058362,2234388,2410338,2586467,2762972,2940002,2634360,2559981,2234166
CZE_Heating,CZE,5000,D_CZE_RES,2477,4397,4895,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,2462,4369,4866,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,2462,4369,4866,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429,5429
CZE_Households_and_services,CZE,5000,D_CZE_RES,33784841,34555583,34706669,35062917,35062917,35642917,36222917,36802917,37382917,37962917,38542917,39122917,39702917,40282917,40862917,41292917,41722917,42152917,42582917,43012917,45162917,43012917,40862917,33585943,34334283,34500213,35062917,35062917,35642917,36222917,36802917,36742917,37162917,37582917,38002917,38422917,38842917,39262917,39262917,39262917,39262917,39262917,39262917,40762917,39462917,38162917,33585943,34334283,34500213,35062917,35062917,35642917,36222917,36802917,37807917,38812917,39562917,40312917,41062917,41812917,42562917,42802917,43042917,43282917,43522917,43762917,44962917,41312917,37662917
CZE_Industry,CZE,5000,D_CZE_RES,26153477,27105942,27507418,27392065,26727065,27536065,27680065,27824065,27968065,28112065,28256065,28400065,28544065,28688065,28832065,29086065,29340065,29594065,29848065,30102065,31372065,34722065,38072065,26064408,27004789,27411063,27392065,26727065,27536065,27680065,27824065,27808065,27912065,28016065,28120065,28224065,28328065,28432065,28464065,28496065,28528065,28560065,28592065,29852065,32302065,34752065,26064408,27004789,27411063,27392065,26727065,27536065,27680065,27824065,28078065,28332065,28520065,28708065,28896065,29084065,29272065,29520065,29768065,30016065,30264065,30512065,31752065,35832065,39912065
CZE_Transport_1,CZE,5000,D_CZE_RES,1696278,1771574,1825384,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1686292,1760228,1814526,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1686292,1760228,1814526,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194,1825194
CZE_Transport_2,CZE_EV,5000,D_DEFAULT_EV,74693,72668,73492,74761,85128,220622,356116,491610,627104,762599,898093,1033587,1169081,1304575,1440069,2129561,2819053,3508545,4198037,4887529,7555107,9619229,11216407,74253,72202,73055,74761,85128,220622,356116,491610,627104,762599,898093,1033587,1169081,1304575,1440069,2129561,2819053,3508545,4198037,4887529,7555107,9619229,11216407,74253,72202,73055,74761,85128,220622,356116,491610,1083284,1674958,1988372,2301786,2615200,2928614,3242027,4836903,6431779,8026655,9621531,11216407,13453616,14774666,15554732
DEU_Households_and_services,DEU,5000,D_DEU_RES,294271004,295104853,290020319,285152848,285986985,277446479,271089921,264500000,262700000,258200000,262160000,266120000,270080000,274040000,278000000,284841723,291683445,298525168,305366891,312208614,329439215,346669816,363900418,293335808,294073975,289012609,285152848,285986985,277446479,271089921,264500000,262700000,265012545,270783235,276553924,282324614,288095304,293865993,302681728,311497463,320313198,329128933,337944668,335216392,335515561,339200509,294271004,295104853,290020319,285152848,285986985,277446479,271089921,264500000,259014682,253510000,262883913,272257826,281631738,291005651,300379564,305652203,310924843,316197482,321470121,326742760,327813078,334102216,341467261
